Station1,Station2,Time
Edgware,Burnt Oak,4.0
Edgware Road,Baker Street,3.0
Edgware Road,Marylebone,1.0
Edgware Road,Paddington,2.0
Edgware Road ,Baker Street,3.0
Edgware Road ,Paddington,3.0
Elephant & Castle,Borough,2.0
Elephant & Castle,Kennington,2.0
Elephant & Castle,Lambeth North,3.0
Elm Park,Dagenham East,3.0
Elm Park,Hornchurch,2.0
Embankment,Charing Cross,1.0
Embankment,Charing Cross ,1.0
Embankment,Temple,2.0
Embankment,Waterloo,2.0
Embankment,Westminster,1.0
Epping ,Theydon Bois,3.0
Euston,Camden Town,4.0
Euston,King's Cross St. Pancras,2.0
Euston,Mornington Crescent,2.0
Euston,Warren Street,1.0
Euston Square,Great Portland Street,2.0
Euston Square,King's Cross St. Pancras,2.0
Fairlop,Barkingside,2.0
Fairlop,Hainault,2.0
Farringdon,Barbican,1.0
Farringdon,King's Cross St. Pancras,2.0
Finchley Central,East Finchley,4.0
Finchley Central,Mill Hill East,4.0
Finchley Central,West Finchley,2.0
Finchley Road,Baker Street,5.0
Finchley Road,Harrow-on-the-Hill,16.0
Finchley Road,Swiss Cottage,2.0
Finchley Road,Wembley Park,7.0
Finchley Road,West Hampstead,1.0
Finsbury Park,Highbury & Islington,2.0
Finsbury Park,Seven Sisters,5.0
Finsbury Park Victoria,Arsenal,1.0
Finsbury Park Victoria,Manor House,2.0
Fulham Broadway,Parsons Green,2.0
Fulham Broadway,West Brompton,2.0
Gants Hill,Newbury Park,3.0
Gants Hill,Redbridge,2.0
Gloucester Road,Earl's Court,2.0
Gloucester Road,High Street Kensington,3.0
Gloucester Road,South Kensington,2.0
Golders Green,Brent Cross,3.0
Golders Green,Hampstead,4.0
Goldhawk Road,Hammersmith,2.0
Goldhawk Road,Shepherd's Bush Market,1.0
Goldhawk Road ,Hammersmith ,2.0
Goldhawk Road ,Shepherd's Bush Market ,1.0
Goodge Street,Tottenham Court Road,1.0
Goodge Street,Warren Street,2.0
Grange Hill,Chigwell,2.0
Grange Hill,Hainault,5.0
Great Portland Street,Baker Street,2.0
Great Portland Street,Euston Square,2.0
Green Park,Bond Street,2.0
Green Park,Hyde Park Corner,2.0
Green Park,Oxford Circus,2.0
Green Park,Piccadilly Circus,2.0
Green Park,Victoria,2.0
Green Park,Westminster,2.0
Greenford,Northolt ,2.0
Greenford,Perivale,2.0
Gunnersbury,Kew Gardens,2.0
Gunnersbury,Turnham Green,3.0
Hainault,Fairlop,2.0
Hainault,Grange Hill,5.0
Hammersmith,Acton Town,8.0
Hammersmith,Barons Court,3.0
Hammersmith,Goldhawk Road,2.0
Hammersmith,Ravenscourt Park,2.0
Hammersmith,Turnham Green,4.0
Hammersmith ,Goldhawk Road ,2.0
Hampstead,Belsize Park,3.0
Hampstead,Golders Green,4.0
Hanger Lane ,North Acton,3.0
Hanger Lane ,Perivale,3.0
Harlesden,Stonebridge Park,2.0
Harlesden,Willesden Junction,2.0
Harrow & Wealdstone,Kenton,2.0
Harrow-on-the-Hill,Finchley Road,16.0
Harrow-on-the-Hill,Moor Park,14.0
Harrow-on-the-Hill,North Harrow,3.0
Harrow-on-the-Hill,Northwick Park,3.0
Harrow-on-the-Hill,Wembley Park,9.0
Harrow-on-the-Hill,West Harrow,2.0
Hatton Cross,Heathrow Terminal 4,3.0
Hatton Cross,"Heathrow Terminals 1, 2, 3",4.0
Hatton Cross,Hounslow West,4.0
Heathrow Terminal 4,Hatton Cross,3.0
Heathrow Terminal 5,"Heathrow Terminals 1, 2, 3",4.0
"Heathrow Terminals 1, 2, 3",Hatton Cross,4.0
"Heathrow Terminals 1, 2, 3",Heathrow Terminal 5,4.0
Hendon Central,Brent Cross,2.0
Hendon Central,Colindale,3.0
High Barnet,Totteridge & Whetstone,4.0
High Street Kensington,Earl's Court,5.0
High Street Kensington,Gloucester Road,3.0
High Street Kensington,Notting Hill Gate,2.0
Highbury & Islington,Finsbury Park,2.0
Highbury & Islington,King's Cross St. Pancras,3.0
Highgate,Archway,3.0
Highgate,East Finchley,3.0
Hillingdon,Ickenham,2.0
Hillingdon,Uxbridge,4.0
Holborn,Chancery Lane,1.0
Holborn,Tottenham,2.0
Holborn Central,Covent Garden,2.0
Holborn Central,Russell Square,2.0
Holland Park,Notting Hill Gate,1.0
Holland Park,Shepherd's Bush,2.0
Holloway Road,Arsenal,2.0
Holloway Road,Caledonian Road,2.0
Hornchurch,Elm Park,2.0
Hornchurch,Upminster Bridge,2.0
Hounslow Central,Hounslow East,1.0
Hounslow Central,Hounslow West,3.0
Hounslow East,Hounslow Central,1.0
Hounslow East,Osterley,2.0
Hounslow West,Hatton Cross,4.0
Hounslow West,Hounslow Central,3.0
Hyde Park Corner,Green Park,2.0
Hyde Park Corner,Knightsbridge,2.0
Ickenham,Hillingdon,2.0
Ickenham,Ruislip,2.0
Kennington,Elephant & Castle,2.0
Kennington,Oval,3.0
Kennington,Waterloo,3.0
Kensal Green,Queen's Park,2.0
Kensal Green,Willesden Junction,3.0
Kensington (Olympia),Earl's Court,3.0
Kentish Town,Camden Town,2.0
Kentish Town,Tufnell Park,1.0
Kenton,Harrow & Wealdstone,2.0
Kenton,South Kenton,2.0
Kew Gardens,Gunnersbury,2.0
Kew Gardens,Richmond ,4.0
Kilburn,West Hampstead,2.0
Kilburn,Willesden Green,2.0
Kilburn Park,Maida Vale,2.0
Kilburn Park,Queen's Park,2.0
King's Cross St. Pancras,Angel,3.0
King's Cross St. Pancras,Caledonian Road,4.0
King's Cross St. Pancras,Euston,2.0
King's Cross St. Pancras,Euston Square,2.0
King's Cross St. Pancras,Farringdon,2.0
King's Cross St. Pancras,Highbury & Islington,3.0
King's Cross St. Pancras,Russell Square,2.0
Kingsbury,Queensbury,2.0
Kingsbury,Wembley Park,3.0
Knightsbridge,Hyde Park Corner,2.0
Knightsbridge,South Kensington,2.0
Ladbroke Grove,Latimer Road,2.0
Ladbroke Grove,Westbourne Park,2.0
Ladbroke Grove ,Latimer Road ,2.0
Ladbroke Grove ,Westbourne Park ,2.0
Lambeth North,Elephant & Castle,3.0
Lambeth North,Waterloo,2.0
Lancaster Gate,Marble Arch,3.0
Lancaster Gate,Queensway,2.0
Latimer Road,Ladbroke Grove,2.0
Latimer Road,Wood Lane,2.0
Latimer Road ,Ladbroke Grove ,2.0
Latimer Road ,Wood Lane ,2.0
Leicester Square,Charing Cross,1.0
Leicester Square,Covent Garden,1.0
Leicester Square,Piccadilly Circus,1.0
Leicester Square,Tottenham Court Road,2.0
Leyton,Leytonstone,2.0
Leyton,Stratford,3.0
Leytonstone,Leyton,2.0
Leytonstone,Snaresbrook ,2.0
Leytonstone,Wanstead,2.0
Liverpool Street,Aldgate,3.0
Liverpool Street,Aldgate East,3.0
Liverpool Street,Bank,2.0
Liverpool Street,Bethnal Green,3.0
Liverpool Street,Moorgate,2.0
London Bridge,Bank,2.0
London Bridge,Bermondsey,2.0
London Bridge,Borough,2.0
London Bridge,Southwark,2.0
Loughton ,Buckhurst Hill,3.0
Loughton ,Debden,2.0
Maida Vale,Kilburn Park,2.0
Maida Vale,Warwick Avenue,1.0
Manor House,Finsbury Park Victoria,2.0
Manor House,Turnpike Lane,4.0
Mansion House,Blackfriars,2.0
Mansion House,Cannon Street,2.0
Marble Arch,Bond Street,2.0
Marble Arch,Lancaster Gate,3.0
Marylebone,Baker Street,2.0
Marylebone,Edgware Road,1.0
Mile End,Bethnal Green,2.0
Mile End,Bow Road,2.0
Mile End,Stepney Green,2.0
Mile End,Stratford,4.0
Mill Hill East,Finchley Central,4.0
Monument,Cannon Street,1.0
Monument,Tower Hill,2.0
Moor Park,Croxley,4.0
Moor Park,Harrow-on-the-Hill,14.0
Moor Park,Northwood,3.0
Moor Park,Rickmansworth,5.0
Moorgate,Bank,2.0
Moorgate,Barbican,2.0
Moorgate,Liverpool Street,2.0
Moorgate,Old Street,2.0
Morden ,South Wimbledon,3.0
Mornington Crescent,Camden Town,2.0
Mornington Crescent,Euston,2.0
Neasden,Dollis Hill,2.0
Neasden,Wembley Park,4.0
Newbury Park,Barkingside,2.0
Newbury Park,Gants Hill,3.0
North Acton,East Acton,2.0
North Acton,Hanger Lane ,3.0
North Acton,West Acton,2.0
North Ealing,Ealing Common,2.0
North Ealing,Park Royal,2.0
North Greenwich,Canary Wharf,3.0
North Greenwich,Canning Town,3.0
North Harrow,Harrow-on-the-Hill,3.0
North Harrow,Pinner,2.0
North Wembley,South Kenton,2.0
North Wembley,Wembley Central,2.0
Northfields,Boston Manor,2.0
Northfields,South Ealing,1.0
Northolt ,Greenford,2.0
Northolt ,South Ruislip,3.0
Northwick Park,Harrow-on-the-Hill,3.0
Northwick Park,Preston Road,3.0
Northwood,Moor Park,3.0
Northwood,Northwood Hills,3.0
Northwood Hills,Northwood,3.0
Northwood Hills,Pinner,3.0
Notting Hill Gate,Bayswater,2.0
Notting Hill Gate,High Street Kensington,2.0
Notting Hill Gate,Holland Park,1.0
Notting Hill Gate,Queensway,2.0
Oakwood,Cockfosters,2.0
Oakwood,Southgate,3.0
Old Street,Angel,3.0
Old Street,Moorgate,2.0
Osterley,Boston Manor,3.0
Osterley,Hounslow East,2.0
Oval,Kennington,3.0
Oval,Stockwell,2.0
Oxford Circus,Bond Street,2.0
Oxford Circus,Green Park,2.0
Oxford Circus,Piccadilly Circus,2.0
Oxford Circus,Regent's Park,2.0
Oxford Circus,Tottenham,1.0
Oxford Circus,Warren Street,2.0
Paddington,Bayswater,2.0
Paddington,Edgware Road,2.0
Paddington,Edgware Road ,3.0
Paddington,Royal Oak,2.0
Paddington,Royal Oak ,2.0
Paddington,Warwick Avenue,2.0
Park Royal,Alperton,2.0
Park Royal,North Ealing,2.0
Parsons Green,Fulham Broadway,2.0
Parsons Green,Putney Bridge,3.0
Perivale,Greenford,2.0
Perivale,Hanger Lane ,3.0
Piccadilly Circus,Charing Cross ,2.0
Piccadilly Circus,Green Park,2.0
Piccadilly Circus,Leicester Square,1.0
Piccadilly Circus,Oxford Circus,2.0
Pimlico,Vauxhall,2.0
Pimlico,Victoria,2.0
Pinner,North Harrow,2.0
Pinner,Northwood Hills,3.0
Plaistow,Upton Park,2.0
Plaistow,West Ham,2.0
Preston Road,Northwick Park,3.0
Preston Road,Wembley Park,3.0
Putney Bridge,East Putney,3.0
Putney Bridge,Parsons Green,3.0
Queen's Park,Kensal Green,2.0
Queen's Park,Kilburn Park,2.0
Queensbury,Canons Park,3.0
Queensbury,Kingsbury,2.0
Queensway,Lancaster Gate,2.0
Queensway,Notting Hill Gate,2.0
Ravenscourt Park,Hammersmith,2.0
Ravenscourt Park,Stamford Brook,2.0
Rayners Lane,Eastcote,2.0
Rayners Lane,South Harrow,5.0
Rayners Lane,West Harrow,3.0
Redbridge,Gants Hill,2.0
Redbridge,Wanstead,2.0
Regent's Park,Baker Street,2.0
Regent's Park,Oxford Circus,2.0
Richmond ,Kew Gardens,4.0
Rickmansworth,Chorleywood,4.0
Rickmansworth,Moor Park,5.0
Roding Valley,Chigwell,3.0
Roding Valley,Woodford,4.0
Royal Oak,Paddington,2.0
Royal Oak,Westbourne Park,2.0
Royal Oak ,Paddington,2.0
Royal Oak ,Westbourne Park ,2.0
Ruislip,Ickenham,2.0
Ruislip,Ruislip Manor,2.0
Ruislip Gardens,South Ruislip,2.0
Ruislip Gardens,West Ruislip,2.0
Ruislip Manor,Eastcote,2.0
Ruislip Manor,Ruislip,2.0
Russell Square,Holborn Central,2.0
Russell Square,King's Cross St. Pancras,2.0
Seven Sisters,Finsbury Park,5.0
Seven Sisters,Tottenham Hale,2.0
Shepherd's Bush,Holland Park,2.0
Shepherd's Bush,White City,3.0
Shepherd's Bush Market,Goldhawk Road,1.0
Shepherd's Bush Market,Wood Lane,2.0
Shepherd's Bush Market ,Goldhawk Road ,1.0
Shepherd's Bush Market ,Wood Lane ,2.0
Sloane Square,South Kensington,2.0
Sloane Square,Victoria,2.0
Snaresbrook ,Leytonstone,2.0
Snaresbrook ,South Woodford,2.0
South Ealing,Acton Town,3.0
South Ealing,Northfields,1.0
South Harrow,Rayners Lane,5.0
South Harrow,Sudbury Hill,3.0
South Kensington,Gloucester Road,2.0
South Kensington,Knightsbridge,2.0
South Kensington,Sloane Square,2.0
South Kenton,Kenton,2.0
South Kenton,North Wembley,2.0
South Ruislip,Northolt ,3.0
South Ruislip,Ruislip Gardens,2.0
South Wimbledon,Colliers Wood,2.0
South Wimbledon,Morden ,3.0
South Woodford,Snaresbrook ,2.0
South Woodford,Woodford,3.0
Southfields,East Putney,2.0
Southfields,Wimbledon Park,2.0
Southgate,Arnos Grove,4.0
Southgate,Oakwood,3.0
Southwark,London Bridge,2.0
Southwark,Waterloo,2.0
St. James's Park,Victoria,2.0
St. James's Park,Westminster,2.0
St. John's Wood,Baker Street,3.0
St. John's Wood,Swiss Cottage,2.0
St. Paul's,Bank,2.0
St. Paul's,Chancery Lane,2.0
Stamford Brook,Ravenscourt Park,2.0
Stamford Brook,Turnham Green,1.0
Stanmore,Canons Park,4.0
Stepney Green,Mile End,2.0
Stepney Green,Whitechapel,3.0
Stockwell,Brixton,2.0
Stockwell,Clapham North,2.0
Stockwell,Oval,2.0
Stockwell,Vauxhall,3.0
Stonebridge Park,Harlesden,2.0
Stonebridge Park,Wembley Central,2.0
Stratford,Leyton,3.0
Stratford,Mile End,4.0
Stratford,West Ham,2.0
Sudbury Hill,South Harrow,3.0
Sudbury Hill,Sudbury Town,2.0
Sudbury Town,Alperton,3.0
Sudbury Town,Sudbury Hill,2.0
Swiss Cottage,Finchley Road,2.0
Swiss Cottage,St. John's Wood,2.0
Temple,Blackfriars,1.0
Temple,Embankment,2.0
Theydon Bois,Debden,3.0
Theydon Bois,Epping ,3.0
Tooting Bec,Balham,2.0
Tooting Bec,Tooting Broadway,2.0
Tooting Broadway,Colliers Wood,2.0
Tooting Broadway,Tooting Bec,2.0
Tottenham,Holborn,2.0
Tottenham,Oxford Circus,1.0
Tottenham Court Road,Goodge Street,1.0
Tottenham Court Road,Leicester Square,2.0
Tottenham Hale,Blackhorse Road,3.0
Tottenham Hale,Seven Sisters,2.0
Totteridge & Whetstone,High Barnet,4.0
Totteridge & Whetstone,Woodside Park,2.0
Tower Hill,Aldgate,2.0
Tower Hill,Aldgate East,3.0
Tower Hill,Monument,2.0
Tufnell Park,Archway,2.0
Tufnell Park,Kentish Town,1.0
Turnham Green,Acton Town,4.0
Turnham Green,Chiswick Park,2.0
Turnham Green,Gunnersbury,3.0
Turnham Green,Hammersmith,4.0
Turnham Green,Stamford Brook,1.0
Turnpike Lane,Manor House,4.0
Turnpike Lane,Wood Green,2.0
Upminster,Upminster Bridge,2.0
Upminster Bridge,Hornchurch,2.0
Upminster Bridge,Upminster,2.0
Upney,Barking,3.0
Upney,Becontree,2.0
Upton Park,East Ham,2.0
Upton Park,Plaistow,2.0
Uxbridge,Hillingdon,4.0
Vauxhall,Pimlico,2.0
Vauxhall,Stockwell,3.0
Victoria,Green Park,2.0
Victoria,Pimlico,2.0
Victoria,Sloane Square,2.0
Victoria,St. James's Park,2.0
Walthamstow Central,Blackhorse Road,3.0
Wanstead,Leytonstone,2.0
Wanstead,Redbridge,2.0
Warren Street,Euston,1.0
Warren Street,Goodge Street,2.0
Warren Street,Oxford Circus,2.0
Warwick Avenue,Maida Vale,1.0
Warwick Avenue,Paddington,2.0
Waterloo,Bank,5.0
Waterloo,Embankment,2.0
Waterloo,Kennington,3.0
Waterloo,Lambeth North,2.0
Waterloo,Southwark,2.0
Waterloo,Westminster,2.0
Watford,Croxley,4.0
Wembley Central,North Wembley,2.0
Wembley Central,Stonebridge Park,2.0
Wembley Park,Finchley Road,7.0
Wembley Park,Harrow-on-the-Hill,9.0
Wembley Park,Kingsbury,3.0
Wembley Park,Neasden,4.0
Wembley Park,Preston Road,3.0
West Acton,Ealing Broadway,3.0
West Acton,North Acton,2.0
West Brompton,Earl's Court,2.0
West Brompton,Fulham Broadway,2.0
West Finchley,Finchley Central,2.0
West Finchley,Woodside Park,2.0
West Ham,Bromley-by-Bow,2.0
West Ham,Canning Town,3.0
West Ham,Plaistow,2.0
West Ham,Stratford,2.0
West Hampstead,Finchley Road,1.0
West Hampstead,Kilburn,2.0
West Harrow,Harrow-on-the-Hill,2.0
West Harrow,Rayners Lane,3.0
West Kensington,Barons Court,2.0
West Kensington,Earl's Court,2.0
West Ruislip,Ruislip Gardens,2.0
Westbourne Park,Ladbroke Grove,2.0
Westbourne Park,Royal Oak,2.0
Westbourne Park ,Ladbroke Grove ,2.0
Westbourne Park ,Royal Oak ,2.0
Westminster,Embankment,1.0
Westminster,Green Park,2.0
Westminster,St. James's Park,2.0
Westminster,Waterloo,2.0
White City,East Acton,3.0
White City,Shepherd's Bush,3.0
Whitechapel,Aldgate East,2.0
Whitechapel,Stepney Green,3.0
Willesden Green,Dollis Hill,2.0
Willesden Green,Kilburn,2.0
Willesden Junction,Harlesden,2.0
Willesden Junction,Kensal Green,3.0
Wimbledon,Wimbledon Park,4.0
Wimbledon Park,Southfields,2.0
Wimbledon Park,Wimbledon,4.0
Wood Green,Bounds Green,3.0
Wood Green,Turnpike Lane,2.0
Wood Lane,Latimer Road,2.0
Wood Lane,Shepherd's Bush Market,2.0
Wood Lane ,Latimer Road ,2.0
Wood Lane ,Shepherd's Bush Market ,2.0
Woodford,Buckhurst Hill,2.0
Woodford,Roding Valley,4.0
Woodford,South Woodford,3.0
Woodside Park,Totteridge & Whetstone,2.0
Woodside Park,West Finchley,2.0
